product_id,product_name,category,price,brand,description
1,Crompton Premium Storage Solution YR-0122,Home & Kitchen,305.4,Crompton,Discover Prestige's space-saving solution for your modern home — designed for durability and style.
2,Pantaloons Linen Ensemble DH-1669,Clothing,80.03,Pantaloons,"Experience the elegance of Raymond's LightSalmon cotton kurta, crafted for comfort and sophistication."
3,Nivia Competition Equipment XP-0184,Sports,20.31,Nivia,"Gear up with SG's professional equipment, crafted to boost your performance and endurance on the field."
4,Tata Motors High Performance Solution aU-4627,Electronics,485.52,Tata Motors,"Reliance Digital presents its latest smart appliance, engineered for seamless performance and cutting-edge innovation."
5,Himalaya Natural Serum OG-2814,Beauty,387.9,Himalaya,"Pamper your skin with Himalaya's ayurvedic mask, specially formulated for radiant and healthy skin."
6,'Sharable bifurcated algorithm' by Penguin India XH-2528,Books,490.15,Penguin India,"User-centric needs-based array' — a captivating read from Penguin India, bringing you stories that inspire and engage."
7,Godrej Interio Space Saving Cooktop hx-9570,Home & Kitchen,241.55,Godrej Interio,Discover Havells's space-saving solution for your modern home — designed for durability and style.
8,Pantaloons Khadi Kurta fU-0391,Clothing,268.47,Pantaloons,"Experience the elegance of Raymond's Black silk kurta, crafted for comfort and sophistication."
9,Tata Motors High Performance Solution Jk-8227,Electronics,88.33,Tata Motors,"Tata Motors presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
10,'Fundamental client-driven encryption' by Penguin India WU-9638,Books,127.22,Penguin India,"Focused motivating portal' — a captivating read from Penguin India, bringing you stories that inspire and engage."
11,Funskool Safe Playset CH-3465,Toys,420.08,Funskool,"Let your child explore with Zephyr's educational learning tool, designed to spark creativity and fun."
12,FabIndia Chanderi Saree bL-3315,Clothing,181.31,FabIndia,"Experience the elegance of Pantaloons's YellowGreen cotton shirt, crafted for comfort and sophistication."
13,FabIndia Cotton Saree TO-9301,Clothing,414.27,FabIndia,"Experience the elegance of FabIndia's RosyBrown silk kurta, crafted for comfort and sophistication."
14,'Cross-platform heuristic hardware' by Penguin India Gp-1051,Books,355.96,Penguin India,"Reverse-engineered even-keeled workforce' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
15,Tata Motors Digital System UK-7382,Electronics,92.7,Tata Motors,"Boat presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
16,Funskool Safe Toy gg-3763,Toys,256.19,Funskool,"Let your child explore with Chicco India's safe doll, designed to spark creativity and fun."
17,Nivia Professional Equipment RP-6670,Sports,340.31,Nivia,"Gear up with Nivia's training gear, crafted to boost your performance and endurance on the field."
18,Tata Motors Digital System mm-6513,Electronics,121.34,Tata Motors,"Tata Motors presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
19,Himalaya Radiant Skin Lotion Dp-2624,Beauty,416.19,Himalaya,"Pamper your skin with Himalaya's organic cream, specially formulated for radiant and healthy skin."
20,Godrej Interio Energy Efficient Cooktop af-8108,Home & Kitchen,274.69,Godrej Interio,Discover Havells's modular solution for your modern home — designed for durability and style.
21,'Operative directional knowledge user' by Penguin India zd-6773,Books,86.79,Penguin India,"Multi-tiered bandwidth-monitored help-desk' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
22,Nivia Performance Kit YY-6064,Sports,293.58,Nivia,"Gear up with Nivia's training accessories, crafted to boost your performance and endurance on the field."
23,Funskool Interactive Playset ms-6872,Toys,499.86,Funskool,"Let your child explore with Funskool's interactive playset, designed to spark creativity and fun."
24,'Inverse zero administration time-frame' by Penguin India dd-9805,Books,79.51,Penguin India,"Upgradable logistical monitoring' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
25,'Optimized 5thgeneration algorithm' by Penguin India dG-7882,Books,409.29,Penguin India,"Decentralized homogeneous artificial intelligence' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
26,Tata Motors Compact Device Rp-2191,Electronics,107.62,Tata Motors,"Tata Motors presents its latest high-performance gadget, engineered for seamless performance and cutting-edge innovation."
27,Crompton Modular Cookware Set cN-9399,Home & Kitchen,392.28,Crompton,Discover Prestige's space-saving solution for your modern home — designed for durability and style.
28,Himalaya Moisturizing Serum qn-9985,Beauty,368.62,Himalaya,"Pamper your skin with Mamaearth's natural serum, specially formulated for radiant and healthy skin."
29,FabIndia Cotton Kurta Du-4624,Clothing,153.74,FabIndia,"Experience the elegance of FabIndia's CornflowerBlue linen kurta, crafted for comfort and sophistication."
30,FabIndia Silk Ensemble eI-7991,Clothing,166.28,FabIndia,"Experience the elegance of FabIndia's Khaki cotton shirt, crafted for comfort and sophistication."
31,'Robust empowering workforce' by Penguin India px-4251,Books,397.3,Penguin India,"Visionary explicit artificial intelligence' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
32,Godrej Interio Smart Kitchen Solution NZ-2784,Home & Kitchen,233.42,Godrej Interio,Discover Havells's modular solution for your modern home — designed for durability and style.
33,Funskool Educational Creative Set qh-8412,Toys,366.75,Funskool,"Let your child explore with Funskool's educational doll, designed to spark creativity and fun."
34,Funskool Creative Learning Kit nT-2449,Toys,78.25,Funskool,"Let your child explore with Chicco India's interactive doll, designed to spark creativity and fun."
35,Nivia Performance Kit df-4874,Sports,427.02,Nivia,"Gear up with Nivia's competition gear, crafted to boost your performance and endurance on the field."
36,Tata Motors Connected System Oq-0052,Electronics,356.89,Tata Motors,"Boat presents its latest smart gadget, engineered for seamless performance and cutting-edge innovation."
37,Godrej Interio Energy Efficient Storage Solution he-8680,Home & Kitchen,453.94,Godrej Interio,Discover Butterfly's energy-efficient solution for your modern home — designed for durability and style.
38,Godrej Interio Energy Efficient Kitchen Solution jB-0598,Home & Kitchen,70.52,Godrej Interio,Discover Butterfly's modular solution for your modern home — designed for durability and style.
39,Tata Motors Connected Device nR-4505,Electronics,298.54,Tata Motors,"Boat presents its latest high-performance gadget, engineered for seamless performance and cutting-edge innovation."
40,Funskool Interactive Learning Kit Vj-5869,Toys,301.56,Funskool,"Let your child explore with Mirada's safe learning tool, designed to spark creativity and fun."
41,Funskool Safe Learning Kit Vv-2602,Toys,179.96,Funskool,"Let your child explore with Funskool's safe playset, designed to spark creativity and fun."
42,Funskool Interactive Learning Kit cE-4216,Toys,231.94,Funskool,"Let your child explore with Funskool's safe learning tool, designed to spark creativity and fun."
43,'Streamlined modular infrastructure' by Penguin India ob-7543,Books,23.8,Penguin India,"Down-sized national superstructure' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
44,Godrej Interio Space Saving Home System eX-3654,Home & Kitchen,374.2,Godrej Interio,Discover Crompton's modular solution for your modern home — designed for durability and style.
45,FabIndia Linen Saree bh-8685,Clothing,276.91,FabIndia,"Experience the elegance of FabIndia's Olive cotton saree, crafted for comfort and sophistication."
46,Tata Motors High Performance Gadget MB-9401,Electronics,33.58,Tata Motors,"Tata Motors presents its latest compact appliance, engineered for seamless performance and cutting-edge innovation."
47,Funskool Interactive Toy yK-6981,Toys,341.97,Funskool,"Let your child explore with Mirada's safe learning tool, designed to spark creativity and fun."
48,Nivia Training Kit ZI-0608,Sports,236.06,Nivia,"Gear up with Cosco's professional accessories, crafted to boost your performance and endurance on the field."
49,Funskool Educational Toy uQ-6159,Toys,22.06,Funskool,"Let your child explore with Zephyr's interactive playset, designed to spark creativity and fun."
50,Funskool Creative Creative Set zS-8465,Toys,484.96,Funskool,"Let your child explore with Zephyr's educational playset, designed to spark creativity and fun."
51,Mamaearth Anti Aging Oil RV-2366,Beauty,474.81,Mamaearth,"Pamper your skin with Biotique's organic serum, specially formulated for radiant and healthy skin."
52,'Robust empowering workforce' by Penguin India at-9468,Books,258.89,Penguin India,"Future-proofed asymmetric data-warehouse' — a captivating read from Penguin India, bringing you stories that inspire and engage."
53,Tata Motors Compact System Pu-3699,Electronics,51.37,Tata Motors,"Voltas presents its latest high-performance appliance, engineered for seamless performance and cutting-edge innovation."
54,Himalaya Anti Aging Cream YY-7387,Beauty,378.54,Himalaya,"Pamper your skin with Forest Essentials's organic cream, specially formulated for radiant and healthy skin."
55,Himalaya Anti Aging Mask fW-4895,Beauty,248.51,Himalaya,"Pamper your skin with Lotus Herbals's natural serum, specially formulated for radiant and healthy skin."
56,Nivia Performance Series cp-3320,Sports,154.71,Nivia,"Gear up with SG's training accessories, crafted to boost your performance and endurance on the field."
57,Crompton Premium Cookware Set mT-1769,Home & Kitchen,248.25,Crompton,Discover Prestige's energy-efficient solution for your modern home — designed for durability and style.
58,Nivia Professional Accessories WX-6320,Sports,263.61,Nivia,"Gear up with Nivia's professional gear, crafted to boost your performance and endurance on the field."
59,Crompton Energy Efficient Kitchen Solution dJ-3287,Home & Kitchen,283.54,Crompton,Discover Prestige's modular solution for your modern home — designed for durability and style.
60,Godrej Interio Space Saving Cookware Set JM-7278,Home & Kitchen,223.41,Godrej Interio,Discover Crompton's modular solution for your modern home — designed for durability and style.
61,Tata Motors Compact System Ck-9868,Electronics,304.85,Tata Motors,"Micromax presents its latest high-performance appliance, engineered for seamless performance and cutting-edge innovation."
62,Funskool Interactive Toy FO-4348,Toys,459.77,Funskool,"Let your child explore with Mirada's safe doll, designed to spark creativity and fun."
63,Tata Motors High Performance Solution rv-7143,Electronics,184.32,Tata Motors,"Boat presents its latest high-performance appliance, engineered for seamless performance and cutting-edge innovation."
64,'Streamlined tangible moratorium' by Penguin India yS-1223,Books,364.23,Penguin India,"Optimized optimal initiative' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
65,Godrej Interio Premium Cookware Set vI-3166,Home & Kitchen,447.75,Godrej Interio,Discover Godrej Interio's energy-efficient solution for your modern home — designed for durability and style.
66,Himalaya Radiant Skin Oil XL-0366,Beauty,230.71,Himalaya,"Pamper your skin with Himalaya's ayurvedic cream, specially formulated for radiant and healthy skin."
67,Funskool Safe Game tW-6705,Toys,224.51,Funskool,"Let your child explore with Funskool's safe doll, designed to spark creativity and fun."
68,FabIndia Linen Dress Fo-8893,Clothing,303.05,FabIndia,"Experience the elegance of Biba's DarkOliveGreen cotton kurta, crafted for comfort and sophistication."
69,'Focused zero administration frame' by Penguin India QR-7065,Books,297.75,Penguin India,"Distributed responsive complexity' — a captivating read from Westland Books, bringing you stories that inspire and engage."
70,Tata Motors Compact Solution Ib-2729,Electronics,404.26,Tata Motors,"Tata Motors presents its latest high-performance gadget, engineered for seamless performance and cutting-edge innovation."
71,Nivia Training Equipment iD-9016,Sports,240.86,Nivia,"Gear up with TYKA's competition equipment, crafted to boost your performance and endurance on the field."
72,'Configurable neutral frame' by Penguin India Du-4653,Books,498.08,Penguin India,"Networked homogeneous policy' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
73,'User-centric even-keeled encryption' by Penguin India fE-6464,Books,34.44,Penguin India,"Persistent multi-tasking extranet' — a captivating read from Westland Books, bringing you stories that inspire and engage."
74,Funskool Educational Playset Pe-8053,Toys,6.57,Funskool,"Let your child explore with Mirada's safe playset, designed to spark creativity and fun."
75,'Realigned dedicated structure' by Penguin India jp-3309,Books,321.9,Penguin India,"Synergized uniform budgetary management' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
76,'Customer-focused background implementation' by Penguin India DS-7193,Books,152.73,Penguin India,"Synergized national system engine' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
77,FabIndia Cotton Saree VT-5299,Clothing,123.99,FabIndia,"Experience the elegance of Biba's MediumSpringGreen silk shirt, crafted for comfort and sophistication."
78,Nivia Performance Accessories tK-4190,Sports,159.39,Nivia,"Gear up with SG's professional gear, crafted to boost your performance and endurance on the field."
79,Nivia Competition Series gS-3193,Sports,131.74,Nivia,"Gear up with Cosco's training equipment, crafted to boost your performance and endurance on the field."
80,Nivia Competition Equipment IB-1905,Sports,20.24,Nivia,"Gear up with Nivia's training equipment, crafted to boost your performance and endurance on the field."
81,Godrej Interio Premium Home System Fg-8506,Home & Kitchen,485.91,Godrej Interio,Discover Butterfly's space-saving solution for your modern home — designed for durability and style.
82,Himalaya Moisturizing Oil UH-7262,Beauty,114.27,Himalaya,"Pamper your skin with Lotus Herbals's natural serum, specially formulated for radiant and healthy skin."
83,Nivia Competition Kit UL-8776,Sports,368.34,Nivia,"Gear up with Shiv-Naresh's competition equipment, crafted to boost your performance and endurance on the field."
84,'Multi-layered heuristic database' by Penguin India pW-3147,Books,382.49,Penguin India,"Profit-focused bi-directional product' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
85,'Public-key bottom-line implementation' by Penguin India bF-9965,Books,464.98,Penguin India,"Innovative scalable middleware' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
86,Nivia Competition Kit Zq-2735,Sports,20.12,Nivia,"Gear up with Nivia's competition equipment, crafted to boost your performance and endurance on the field."
87,Funskool Educational Learning Kit Hm-9480,Toys,436.66,Funskool,"Let your child explore with Chicco India's educational doll, designed to spark creativity and fun."
88,Nivia Performance Accessories SE-6783,Sports,265.98,Nivia,"Gear up with SG's professional accessories, crafted to boost your performance and endurance on the field."
89,'Extended well-modulated Graphical User Interface' by Penguin India zS-0143,Books,318.11,Penguin India,"Vision-oriented multi-tasking ability' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
90,Godrej Interio Space Saving Cookware Set JH-4957,Home & Kitchen,324.01,Godrej Interio,Discover Havells's space-saving solution for your modern home — designed for durability and style.
91,Tata Motors High Performance Appliance rt-8557,Electronics,410.8,Tata Motors,"Voltas presents its latest compact gadget, engineered for seamless performance and cutting-edge innovation."
92,Tata Motors Connected Appliance VI-1351,Electronics,170.04,Tata Motors,"Reliance Digital presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
93,Nivia Premium Kit WH-3749,Sports,367.86,Nivia,"Gear up with Shiv-Naresh's training gear, crafted to boost your performance and endurance on the field."
94,FabIndia Linen Kurta xl-1343,Clothing,266.65,FabIndia,"Experience the elegance of Pantaloons's LawnGreen cotton kurta, crafted for comfort and sophistication."
95,Nivia Competition Gear dJ-8240,Sports,397.73,Nivia,"Gear up with Nivia's competition equipment, crafted to boost your performance and endurance on the field."
96,Funskool Safe Game sE-7109,Toys,495.32,Funskool,"Let your child explore with Funskool's educational learning tool, designed to spark creativity and fun."
97,Nivia Professional Accessories Eh-5204,Sports,104.32,Nivia,"Gear up with Shiv-Naresh's training equipment, crafted to boost your performance and endurance on the field."
98,Tata Motors Digital Gadget jj-7190,Electronics,497.35,Tata Motors,"Boat presents its latest high-performance device, engineered for seamless performance and cutting-edge innovation."
99,'Centralized discrete alliance' by Penguin India WA-1318,Books,49.46,Penguin India,"De-engineered stable leverage' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
100,Nivia Performance Kit yC-9938,Sports,6.15,Nivia,"Gear up with TYKA's competition equipment, crafted to boost your performance and endurance on the field."
101,'Intuitive impactful flexibility' by Penguin India Nd-9649,Books,26.86,Penguin India,"Fundamental multi-tasking portal' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
102,'Operative directional knowledge user' by Penguin India Qf-1334,Books,174.18,Penguin India,"Optimized didactic moratorium' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
103,FabIndia Khadi Dress ka-3281,Clothing,318.29,FabIndia,"Experience the elegance of FabIndia's Green linen shirt, crafted for comfort and sophistication."
104,'User-friendly next generation monitoring' by Penguin India os-9740,Books,39.17,Penguin India,"Universal fault-tolerant initiative' — a captivating read from Penguin India, bringing you stories that inspire and engage."
105,Tata Motors Digital Appliance qY-4713,Electronics,7.8,Tata Motors,"Boat presents its latest high-performance appliance, engineered for seamless performance and cutting-edge innovation."
106,Godrej Interio Space Saving Cooktop Pj-6183,Home & Kitchen,468.86,Godrej Interio,Discover Godrej Interio's energy-efficient solution for your modern home — designed for durability and style.
107,Godrej Interio Smart Home System MV-1024,Home & Kitchen,411.85,Godrej Interio,Discover Butterfly's energy-efficient solution for your modern home — designed for durability and style.
108,Himalaya Moisturizing Oil Sz-7174,Beauty,405.55,Himalaya,"Pamper your skin with Mamaearth's natural serum, specially formulated for radiant and healthy skin."
109,Funskool Safe Toy Mc-8771,Toys,442.79,Funskool,"Let your child explore with Mirada's educational playset, designed to spark creativity and fun."
110,Nivia Premium Series oR-9401,Sports,351.52,Nivia,"Gear up with Nivia's professional equipment, crafted to boost your performance and endurance on the field."
111,Funskool Interactive Game WW-0490,Toys,56.68,Funskool,"Let your child explore with Hamleys India's interactive playset, designed to spark creativity and fun."
112,Tata Motors Compact Device LB-8742,Electronics,202.55,Tata Motors,"Tata Motors presents its latest high-performance appliance, engineered for seamless performance and cutting-edge innovation."
113,'Cross-group didactic emulation' by Penguin India uQ-7565,Books,362.96,Penguin India,"Focused optimizing definition' — a captivating read from HarperCollins India, bringing you stories that inspire and engage."
114,Godrej Interio Premium Storage Solution sQ-2567,Home & Kitchen,143.77,Godrej Interio,Discover Crompton's modular solution for your modern home — designed for durability and style.
115,Funskool Educational Game qu-0715,Toys,345.27,Funskool,"Let your child explore with Mirada's educational learning tool, designed to spark creativity and fun."
116,Tata Motors Connected Solution Ad-8087,Electronics,17.13,Tata Motors,"Reliance Digital presents its latest high-performance device, engineered for seamless performance and cutting-edge innovation."
117,Godrej Interio Energy Efficient Home System Wd-5977,Home & Kitchen,156.54,Godrej Interio,Discover Butterfly's modular solution for your modern home — designed for durability and style.
118,'Profit-focused real-time algorithm' by Penguin India SF-8247,Books,276.82,Penguin India,"Cloned 5thgeneration groupware' — a captivating read from Penguin India, bringing you stories that inspire and engage."
119,Funskool Educational Creative Set tJ-0932,Toys,317.88,Funskool,"Let your child explore with Chicco India's educational learning tool, designed to spark creativity and fun."
120,Godrej Interio Energy Efficient Cookware Set Dh-6131,Home & Kitchen,290.64,Godrej Interio,Discover Butterfly's modular solution for your modern home — designed for durability and style.
121,Nivia Training Accessories EE-4846,Sports,350.39,Nivia,"Gear up with SG's training accessories, crafted to boost your performance and endurance on the field."
122,Nivia Training Equipment MG-8263,Sports,8.01,Nivia,"Gear up with TYKA's training equipment, crafted to boost your performance and endurance on the field."
123,Himalaya Moisturizing Mask ra-4658,Beauty,54.97,Himalaya,"Pamper your skin with Lotus Herbals's natural cream, specially formulated for radiant and healthy skin."
124,Himalaya Revitalizing Mask CI-9972,Beauty,435.13,Himalaya,"Pamper your skin with Mamaearth's natural mask, specially formulated for radiant and healthy skin."
125,Crompton Energy Efficient Cooktop Du-5886,Home & Kitchen,342.47,Crompton,Discover Prestige's space-saving solution for your modern home — designed for durability and style.
126,Tata Motors Compact System cu-9636,Electronics,60.9,Tata Motors,"Reliance Digital presents its latest compact device, engineered for seamless performance and cutting-edge innovation."
127,Nivia Premium Kit iG-6270,Sports,421.83,Nivia,"Gear up with Nivia's training gear, crafted to boost your performance and endurance on the field."
128,Tata Motors Connected System Da-1718,Electronics,124.9,Tata Motors,"Tata Motors presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
129,Tata Motors Compact Device vN-2174,Electronics,241.74,Tata Motors,"Reliance Digital presents its latest smart appliance, engineered for seamless performance and cutting-edge innovation."
130,Godrej Interio Premium Storage Solution OT-5865,Home & Kitchen,76.87,Godrej Interio,Discover Crompton's energy-efficient solution for your modern home — designed for durability and style.
131,Tata Motors High Performance Appliance OR-0913,Electronics,356.5,Tata Motors,"Reliance Digital presents its latest compact gadget, engineered for seamless performance and cutting-edge innovation."
132,Nivia Competition Equipment Ck-1611,Sports,335.09,Nivia,"Gear up with Nivia's training gear, crafted to boost your performance and endurance on the field."
133,'Multi-tiered even-keeled knowledgebase' by Penguin India wx-0504,Books,109.5,Penguin India,"Upgradable actuating service-desk' — a captivating read from Rupa Publications, bringing you stories that inspire and engage."
134,Mamaearth Anti Aging Serum KR-2386,Beauty,432.38,Mamaearth,"Pamper your skin with Biotique's natural mask, specially formulated for radiant and healthy skin."
135,'Extended well-modulated Graphical User Interface' by Penguin India NR-2196,Books,203.65,Penguin India,"Cross-platform analyzing initiative' — a captivating read from Westland Books, bringing you stories that inspire and engage."
136,Tata Motors High Performance System DO-7923,Electronics,149.79,Tata Motors,"Micromax presents its latest high-performance gadget, engineered for seamless performance and cutting-edge innovation."
137,'Operative directional knowledge user' by Penguin India RI-4074,Books,80.4,Penguin India,"Customer-focused dynamic core' — a captivating read from Penguin India, bringing you stories that inspire and engage."
138,Nivia Performance Kit tO-1759,Sports,136.75,Nivia,"Gear up with TYKA's professional accessories, crafted to boost your performance and endurance on the field."
139,Nivia Training Accessories Eg-7436,Sports,15.9,Nivia,"Gear up with Cosco's training equipment, crafted to boost your performance and endurance on the field."
140,Tata Motors Smart System Ss-9594,Electronics,293.71,Tata Motors,"Reliance Digital presents its latest compact device, engineered for seamless performance and cutting-edge innovation."
141,Godrej Interio Premium Home System MV-4090,Home & Kitchen,421.9,Godrej Interio,Discover Butterfly's energy-efficient solution for your modern home — designed for durability and style.
142,'Intuitive impactful flexibility' by Penguin India Om-3953,Books,276.75,Penguin India,"Persistent dynamic archive' — a captivating read from Penguin India, bringing you stories that inspire and engage."
143,Godrej Interio Premium Kitchen Solution tY-4210,Home & Kitchen,113.54,Godrej Interio,Discover Godrej Interio's energy-efficient solution for your modern home — designed for durability and style.
144,Godrej Interio Premium Cooktop su-9521,Home & Kitchen,21.67,Godrej Interio,Discover Havells's space-saving solution for your modern home — designed for durability and style.
145,FabIndia Linen Saree HG-3285,Clothing,111.24,FabIndia,"Experience the elegance of FabIndia's Yellow cotton kurta, crafted for comfort and sophistication."
146,Tata Motors Compact Device Zh-4745,Electronics,210.98,Tata Motors,"Micromax presents its latest smart device, engineered for seamless performance and cutting-edge innovation."
147,Himalaya Revitalizing Cream xf-2368,Beauty,381.01,Himalaya,"Pamper your skin with Forest Essentials's ayurvedic cream, specially formulated for radiant and healthy skin."
148,Nivia Competition Series xR-4817,Sports,97.98,Nivia,"Gear up with SG's training gear, crafted to boost your performance and endurance on the field."
149,Nivia Premium Series Eb-6513,Sports,361.3,Nivia,"Gear up with Cosco's training equipment, crafted to boost your performance and endurance on the field."
150,Tata Motors High Performance System OD-5931,Electronics,434.13,Tata Motors,"Reliance Digital presents its latest compact device, engineered for seamless performance and cutting-edge innovation."
151,Funskool Educational Playset tF-1200,Toys,229.7,Funskool,"Let your child explore with Funskool's educational doll, designed to spark creativity and fun."
152,Funskool Immersive Game Dx-3826,Toys,411.61,Funskool,"Let your child explore with Mirada's educational doll, designed to spark creativity and fun."
153,Funskool Safe Toy FN-9261,Toys,279.56,Funskool,"Let your child explore with Hamleys India's interactive doll, designed to spark creativity and fun."
154,Himalaya Moisturizing Cream Cp-0537,Beauty,320.36,Himalaya,"Pamper your skin with Lotus Herbals's organic serum, specially formulated for radiant and healthy skin."
155,Nivia Training Equipment zr-5850,Sports,265.51,Nivia,"Gear up with Cosco's competition accessories, crafted to boost your performance and endurance on the field."
156,Tata Motors High Performance Appliance bd-7139,Electronics,234.27,Tata Motors,"Reliance Digital presents its latest high-performance appliance, engineered for seamless performance and cutting-edge innovation."
157,Nivia Training Series WJ-2931,Sports,121.15,Nivia,"Gear up with SG's competition gear, crafted to boost your performance and endurance on the field."
158,Godrej Interio Modular Home System YM-3352,Home & Kitchen,155.08,Godrej Interio,Discover Havells's modular solution for your modern home — designed for durability and style.
159,'Profit-focused real-time algorithm' by Penguin India Zl-2284,Books,148.54,Penguin India,"Ergonomic explicit data-warehouse' — a captivating read from Westland Books, bringing you stories that inspire and engage."
160,'Extended well-modulated Graphical User Interface' by Penguin India YY-0205,Books,283.83,Penguin India,"Centralized optimal support' — a captivating read from Jaico Publishing, bringing you stories that inspire and engage."
161,Nivia Training Accessories qd-9502,Sports,64.38,Nivia,"Gear up with SG's competition equipment, crafted to boost your performance and endurance on the field."
162,FabIndia Linen Ensemble CX-8117,Clothing,458.81,FabIndia,"Experience the elegance of FabIndia's Chartreuse linen saree, crafted for comfort and sophistication."
163,Himalaya Radiant Skin Oil oN-9178,Beauty,361.72,Himalaya,"Pamper your skin with Lotus Herbals's ayurvedic mask, specially formulated for radiant and healthy skin."
164,Funskool Safe Playset Ez-4700,Toys,203.72,Funskool,"Let your child explore with Zephyr's interactive learning tool, designed to spark creativity and fun."
165,Himalaya Anti Aging Cream uM-7711,Beauty,83.52,Himalaya,"Pamper your skin with Forest Essentials's natural cream, specially formulated for radiant and healthy skin."
